ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
Cytochromes-C-Oxidized	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
Ubiquinones	SUPER	-	ETR-Quinones	-	ubiquinone	UQ	['-']	(SEED cpd28301 NIL |kothari| 3788273832 NIL NIL); (METANETX MNXM176 NIL |kothari| 3787514192 NIL NIL); (LIGAND-CPD C00399 NIL |kothari| 3780416441 NIL NIL); (CHEBI 16389 NIL |taltman| 3498851513 NIL NIL)	C([R])C(\C)=C/CC1(\C(=O)C(\OC)=C(C(=O)C(/C)=1)\OC)	coenzyme-Qn; ubiquinone; Q	['-']
UBIQUINONE-6	Ubiquinones	-	Ubiquinones	-	ubiquinone-6	-	(C 39);(H 58);(O 4)	(ZINC ZINC000014960640 NIL |kothari| 3853426389 NIL NIL); (SEED cpd15290 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM1783 NIL |kothari| 3787514192 NIL NIL); (REFMET Coenzyme Q6 NIL |midford| 3697479617 NIL NIL); (HMDB HMDB36062 NIL |kothari| 3608597114 NIL NIL); (LIPID_MAPS LMPR02010002 NIL |kothari| 3594492062 NIL NIL); (CHEMSPIDER 4446657 NIL |kothari| 3563632090 NIL NIL); (LIGAND-CPD C17568 NIL |taltman| 3497980083 NIL NIL); (CHEBI 52971 NIL |taltman| 3466400375 NIL NIL); (PUBCHEM 5283544 NIL |taltman| 3466375284 NIL NIL)	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CC1(\C(C(\OC)=C(C(=O)C(/C)=1)\OC)=O)	ubiquinone(6); CoQ-6; ubiquinone(30); coenzyme-Q6; Q6	['-']
Cytochromes-C-Reduced	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
Dodec-2-enoyl-ACPs	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
CPD-8160	-	Glycerolipids	Digalactosyldiacylglycerols-34-1	Dihexosyldiacylglycerol	1-18:1-2-16:0-digalactosyldiacylglycerol	18:1-16:0-DGDG	(C 49);(H 90);(O 15)	(SEED cpd25069 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM13871 NIL |kothari| 3787514190 NIL NIL); (PUBCHEM 90658365 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]2(O[C@H](CO[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))[C@H](O)[C@H](O)[C@@H](O)2))OC(=O)CCCCCCCCCCCCCCC)=O	18:1-16:0-DGDG	['-']
CPD-8161	-	Glycerolipids	Digalactosyldiacylglycerols-34-2	Dihexosyldiacylglycerol	1-18:2-2-16:0-digalactosyldiacylglycerol	18:2-16:0-DGDG	(C 49);(H 88);(O 15)	(SEED cpd25070 NIL |kothari| 3788273833 NIL NIL); (METANETX MNXM9562 NIL |kothari| 3787514192 NIL NIL); (PUBCHEM 90658818 NIL |kothari| 3641818093 NIL NIL)	CCCCC\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]2(O[C@H](CO[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))[C@H](O)[C@H](O)[C@@H](O)2))OC(=O)CCCCCCCCCCCCCCC)=O	18:2-16:0-DGDG	['-']
ACETYL-ACP	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
BETA-D-FRUCTOSE	-	-	Fructofuranose	-	&beta-D-fructofuranose	-	(C 6);(H 12);(O 6)	(ZINC ZINC000001529270 NIL |kothari| 3853420525 NIL NIL); (MEDIADB compounds/2005/ NIL |midford| 3791153825 NIL NIL); (SEED cpd30321 NIL |kothari| 3788273827 NIL NIL); (METANETX MNXM1542 NIL |kothari| 3787514191 NIL NIL); (METABOLIGHTS MTBLC28645 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00660 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 388775 NIL |kothari| 3563631696 NIL NIL); (CHEBI 28645 NIL |taltman| 3452363269 NIL NIL); (PUBCHEM 439709 NIL |taltman| 3448034169 NIL NIL); (LIGAND-CPD C02336 NIL |kr| 3410284649 NIL NIL)	C(O)[C@H]1(O[C@](O)(CO)[C@H]([C@@H]1O)O)	&beta-D-fructose; &beta-fruit sugar; &beta-Levulose; &beta-D-arabino-Hexulose	['-']
FRUCTOSE-6P	-	-	CPD-18719	-	&beta-D-fructofuranose 6-phosphate	F6P	(C 6);(H 11);(O 9);(P 1)	(ZINC ZINC000004096690 NIL |kothari| 3853425414 NIL NIL); (SEED cpd19035 NIL |kothari| 3788273832 NIL NIL); (HMDB HMDB03971 NIL |kothari| 3787939157 NIL NIL); (METANETX MNXM89621 NIL |kothari| 3787514189 NIL NIL); (LIGAND-CPD C05345 NIL |kothari| 3787329137 NIL NIL); (BIGG f6p NIL |kothari| 3661824225 NIL NIL); (CHEMSPIDER 10239172 NIL |kothari| 3563631798 NIL NIL); (CHEBI 57634 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 21604863 NIL |taltman| 3466375285 NIL NIL); (CAS 643-13-0)	C(OP(=O)([O-])[O-])[C@H]1(O[C@@](CO)(O)[C@@H](O)[C@H](O)1)	D-fructose-6-phosphate; fructose-6P; fructose-6-P; fruc6p; fru-6-P; fructose-6-phosphate; A-D-fructose-6-P; D-fructose-6-P; D-fructose 6-phosphate; D-fructofuranose 6-phosphate	['-']
CPD-2961	-	-	Carbohydrate-acid-derivatives	-	D-gluconate 6-phosphate	-	(C 6);(H 10);(O 10);(P 1)	(ZINC ZINC000001532623 NIL |kothari| 3853422594 NIL NIL); (REACTOME-CPD 29996 NIL |kothari| 3788282686 NIL NIL); (SEED cpd00284 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM325 NIL |kothari| 3787514193 NIL NIL); (REFMET 6-Phosphogluconic acid NIL |midford| 3701443689 NIL NIL); (BIGG 6pgc NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC58759 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01316 NIL |kothari| 3608602683 NIL NIL); (CHEBI 58759 NIL |ong| 3523630742 NIL NIL); (PUBCHEM 36688186 NIL |ong| 3523387880 NIL NIL); (LIGAND-CPD C00345 NIL |kr| 3346617699 NIL NIL)	C([C@H]([C@H]([C@@H]([C@H](C([O-])=O)O)O)O)O)OP([O-])([O-])=O	6-p gluconate; 6-phospho gluconate; 6-phosphogluconic acid; 6-phospho D-gluconate	['-']
2-TRANS6-TRANS-FARNESOL	-	-	Methyl-Branched-Lipids; Farnesols	-	(2E,6E)-farnesol	-	(C 15);(H 26);(O 1)	(ZINC ZINC000001532860 NIL |kothari| 3853420157 NIL NIL); (METANETX MNXM1161 NIL |kothari| 3787514193 NIL NIL); (HMDB HMDB04305 NIL |kothari| 3608597114 NIL NIL); (LIPID_MAPS LMPR0103010001 NIL |kothari| 3594492049 NIL NIL); (CHEMSPIDER 392816 NIL |kothari| 3563631586 NIL NIL); (PUBCHEM 445070 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C01126 NIL |taltman| 3452530673 NIL NIL)	CC(C)=CCCC(\C)=C/CCC(\C)=C/CO	(E,E,)-farnesol; (E,E,)-3,7,11-trimethyl-2,6,10-dodecatrien-1-ol; 2-trans-S-6-trans-farnesol; 2-trans,6-trans-farnesol; all-trans farnesol	['-']
CPD-7064	-	-	Bilins	-	primary fluorescent chlorophyll catabolite	-	(C 35);(H 38);(N 4);(O 7)	(ZINC ZINC000100083088 NIL |kothari| 3853423326 NIL NIL); (SEED cpd19368 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM4787 NIL |kothari| 3787514193 NIL NIL); (LIGAND-CPD C18098 NIL |kothari| 3787329138 NIL NIL); (PUBCHEM 54740347 NIL |kothari| 3696259642 NIL NIL); (CHEBI 58719 NIL |taltman| 3498180761 NIL NIL)	CCC5(\C(/C)=C(C=O)/NC(/CC1(\NC2(\C(/[C-](C(OC)=O)C(=O)C(\C(/C)=1)=2)=C4([C@@H](CCC(=O)[O-])[C@H](C)C(/CC3(C(/C)=C(C=C)/C(=O)N3))=N/4))))=5)	pFCC; (82R,12S,13S)-12-(2-carboxyethyl)-3-ethyl-1-formyl-82-(methoxycarbonyl)-2,7,13,17-tetramethyl-18-vinyl-12,13-dihydro-8,10-ethanobilene-b-81,19(16H)-dione	['-']
CPD-7063	-	-	Bilins	-	red chlorophyll catabolite	-	(C 35);(H 36);(N 4);(O 7)	(ZINC ZINC000100202477 NIL |kothari| 3853423325 NIL NIL); (SEED cpd18005 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM4804 NIL |kothari| 3787514191 NIL NIL); (PUBCHEM 135926543 NIL |kothari| 3760047716 NIL NIL); (CHEBI 58716 NIL |caspi| 3653997492 NIL NIL); (LIGAND-CPD C18022 NIL |caspi| 3623446268 NIL NIL)	CCC5(\C(/C)=C(C=O)/NC(/C=C1(C(\C)=C2(C(\N1)=C([C-](C(OC)=O)C(=O)2)\C3(/[C@@H](CCC(=O)[O-])[C@H](C)C(\N=3)=C\C4(C(/C)=C(C=C)/C(=O)N4)))))=5)	RCC; red bilin; (7S,8S,101R)-8-(2-carboxyethyl)-17-ethyl-19-formyl-101-(methoxycarbonyl)-3,7,13,18-tetramethyl-2-vinyl-8,23-dihydro-7H-10,12-ethanobiladiene-ab-1,102(21H)-dione	['-']
CPD-8083	-	Glycerolipids	Digalactosyldiacylglycerols-36-5	Dihexosyldiacylglycerol	1-18:2-2-18:3-digalactosyldiacylglycerol	18:2-18:3-DGDG	(C 51);(H 86);(O 15)	(SEED cpd25034 NIL |kothari| 3788273833 NIL NIL); (METANETX MNXM9565 NIL |kothari| 3787514191 NIL NIL); (PUBCHEM 90658674 NIL |kothari| 3641818093 NIL NIL)	CCCCC\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]2(O[C@H](CO[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))[C@H](O)[C@H](O)[C@@H](O)2))OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)=O	18:2-18:3-DGDG; 1-(9Z,12Z-octadecenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-O-[alpha-D-galactosyl-(1->6)-O-beta-D-galactosyl]-sn-glycerol	['-']
CPD-8081	-	Glycerolipids	Digalactosyldiacylglycerols-36-6	Dihexosyldiacylglycerol	1-18:3-2-18:3-digalactosyldiacylglycerol	18:3-18:3-DGDG	(C 51);(H 84);(O 15)	(METANETX MNXM9573 NIL |kothari| 3787514190 NIL NIL); (PUBCHEM 91820238 NIL |kothari| 3651883220 NIL NIL)	CC\C=C/C\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]2(O[C@H](CO[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))[C@H](O)[C@H](O)[C@@H](O)2))OC(=O)CCCCCCC\C=C/C/C=C/C\C=C/CC)=O	18:3-18:3-DGDG; 1,2-(9Z,12Z,15Z-octadecatrienoyl)-3-O-[&alpha-D-galactosyl-(1->6)-O-&beta-D-galactosyl]-sn-glycerol	['-']
